locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
2277,CARABAYLLO,Lima,PE,2021-08-19T02:00:00+00:00,2021-08-19T01:00:00-01:00,pm10,104.8,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-19T01:00:00+00:00,2021-08-19T00:00:00-01:00,pm10,98.8,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-18T23:00:00+00:00,2021-08-18T22:00:00-01:00,pm10,70.68,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-18T22:00:00+00:00,2021-08-18T21:00:00-01:00,pm10,111.6,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-18T17:00:00+00:00,2021-08-18T16:00:00-01:00,pm10,0,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T16:00:00+00:00,2021-08-17T15:00:00-01:00,pm10,3.93,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T16:00:00+00:00,2021-08-17T15:00:00-01:00,pm25,33.86,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T15:00:00+00:00,2021-08-17T14:00:00-01:00,pm25,20.57,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T15:00:00+00:00,2021-08-17T14:00:00-01:00,pm10,15.51,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T14:00:00+00:00,2021-08-17T13:00:00-01:00,pm10,23.89,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T14:00:00+00:00,2021-08-17T13:00:00-01:00,pm25,12.56,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T13:00:00+00:00,2021-08-17T12:00:00-01:00,pm25,13.54,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T13:00:00+00:00,2021-08-17T12:00:00-01:00,pm10,17.75,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T12:00:00+00:00,2021-08-17T11:00:00-01:00,pm10,16.62,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T12:00:00+00:00,2021-08-17T11:00:00-01:00,pm25,17.07,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T11:00:00+00:00,2021-08-17T10:00:00-01:00,pm25,26.99,µg/m³,-11.902194,-77.033639
